DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag,Month
2024-04-03,06:00,REGDN,1.19,N,2024-04
2024-04-03,06:00,RRS,1.0,N,2024-04
2024-04-03,06:00,ECRS,0.82,N,2024-04
2024-04-03,06:00,NSPIN,1.0,N,2024-04
2024-04-03,07:00,REGUP,1.97,N,2024-04
2024-04-03,07:00,REGDN,1.97,N,2024-04
2024-04-03,07:00,RRS,1.97,N,2024-04
2024-04-03,07:00,NSPIN,6.49,N,2024-04
2024-04-03,07:00,ECRS,1.97,N,2024-04
2024-04-03,08:00,REGDN,2.14,N,2024-04
2024-04-03,08:00,REGUP,1.97,N,2024-04
2024-04-03,08:00,RRS,3.51,N,2024-04
2024-04-03,08:00,NSPIN,5.0,N,2024-04
2024-04-03,08:00,ECRS,3.51,N,2024-04
2024-04-03,09:00,REGUP,2.0,N,2024-04
2024-04-03,09:00,REGDN,2.0,N,2024-04
2024-04-03,09:00,RRS,2.49,N,2024-04
2024-04-03,09:00,ECRS,2.49,N,2024-04
2024-04-03,09:00,NSPIN,2.72,N,2024-04
2024-04-03,10:00,REGDN,1.57,N,2024-04
2024-04-03,10:00,REGUP,1.69,N,2024-04
2024-04-03,10:00,RRS,1.84,N,2024-04
2024-04-03,10:00,NSPIN,1.84,N,2024-04
2024-04-03,10:00,ECRS,1.84,N,2024-04
2024-04-03,11:00,REGDN,1.0,N,2024-04
2024-04-03,11:00,REGUP,1.48,N,2024-04
2024-04-03,11:00,RRS,1.15,N,2024-04
2024-04-03,11:00,NSPIN,1.96,N,2024-04
2024-04-03,11:00,ECRS,1.15,N,2024-04
2024-04-03,12:00,REGDN,0.99,N,2024-04
2024-04-03,12:00,REGUP,1.49,N,2024-04
2024-04-03,12:00,RRS,1.11,N,2024-04
2024-04-03,12:00,NSPIN,1.96,N,2024-04
2024-04-03,12:00,ECRS,1.11,N,2024-04
2024-04-03,13:00,NSPIN,1.75,N,2024-04
2024-04-03,13:00,RRS,1.0,N,2024-04
2024-04-03,13:00,REGUP,1.49,N,2024-04
2024-04-03,13:00,REGDN,0.99,N,2024-04
2024-04-03,13:00,ECRS,1.0,N,2024-04
2024-04-03,14:00,REGUP,1.49,N,2024-04
2024-04-03,14:00,RRS,1.04,N,2024-04
2024-04-03,14:00,NSPIN,1.75,N,2024-04
2024-04-03,14:00,ECRS,1.04,N,2024-04
2024-04-03,14:00,REGDN,0.99,N,2024-04
2024-04-03,15:00,NSPIN,1.5,N,2024-04
2024-04-03,15:00,ECRS,1.23,N,2024-04
2024-04-03,15:00,RRS,1.01,N,2024-04
2024-04-03,15:00,REGUP,1.49,N,2024-04
2024-04-03,15:00,REGDN,1.25,N,2024-04
2024-04-03,16:00,ECRS,1.26,N,2024-04
2024-04-03,16:00,NSPIN,1.75,N,2024-04
2024-04-03,16:00,RRS,1.01,N,2024-04
2024-04-03,16:00,REGUP,1.49,N,2024-04
2024-04-03,16:00,REGDN,1.42,N,2024-04
2024-04-03,17:00,NSPIN,1.85,N,2024-04
2024-04-03,17:00,ECRS,1.99,N,2024-04
2024-04-03,17:00,RRS,1.02,N,2024-04
2024-04-03,17:00,REGUP,1.97,N,2024-04
2024-04-03,17:00,REGDN,1.49,N,2024-04
2024-04-03,18:00,ECRS,2.0,N,2024-04
2024-04-03,18:00,NSPIN,2.72,N,2024-04
2024-04-03,18:00,RRS,1.03,N,2024-04
2024-04-03,18:00,REGUP,1.98,N,2024-04
2024-04-03,18:00,REGDN,2.2,N,2024-04
2024-04-03,19:00,NSPIN,4.93,N,2024-04
2024-04-03,19:00,ECRS,4.93,N,2024-04
2024-04-03,19:00,RRS,2.71,N,2024-04
2024-04-03,19:00,REGUP,5.0,N,2024-04
2024-04-03,19:00,REGDN,6.14,N,2024-04
2024-04-03,20:00,ECRS,56.37,N,2024-04
2024-04-03,20:00,NSPIN,56.37,N,2024-04
2024-04-03,20:00,RRS,38.36,N,2024-04
2024-04-03,20:00,REGUP,38.87,N,2024-04
2024-04-03,20:00,REGDN,18.49,N,2024-04
2024-04-03,21:00,NSPIN,50.8,N,2024-04
2024-04-03,21:00,ECRS,50.8,N,2024-04
2024-04-03,21:00,RRS,16.19,N,2024-04
2024-04-03,21:00,REGUP,14.19,N,2024-04
2024-04-03,21:00,REGDN,16.09,N,2024-04
2024-04-03,22:00,REGDN,6.16,N,2024-04
2024-04-03,22:00,ECRS,32.71,N,2024-04
2024-04-03,22:00,NSPIN,32.71,N,2024-04
2024-04-03,22:00,RRS,6.47,N,2024-04
2024-04-03,22:00,REGUP,6.99,N,2024-04
2024-04-03,23:00,ECRS,16.84,N,2024-04
2024-04-03,23:00,NSPIN,18.33,N,2024-04
2024-04-03,23:00,RRS,9.0,N,2024-04
2024-04-03,23:00,REGUP,9.33,N,2024-04
2024-04-03,23:00,REGDN,2.39,N,2024-04
2024-04-03,24:00,ECRS,5.12,N,2024-04
2024-04-03,24:00,REGDN,2.0,N,2024-04
2024-04-03,24:00,REGUP,3.8,N,2024-04
2024-04-03,24:00,RRS,3.8,N,2024-04
2024-04-03,24:00,NSPIN,7.02,N,2024-04
2024-04-04,01:00,REGDN,1.25,N,2024-04
2024-04-04,01:00,REGUP,1.33,N,2024-04
2024-04-04,01:00,RRS,1.0,N,2024-04
2024-04-04,01:00,NSPIN,0.91,N,2024-04
2024-04-04,01:00,ECRS,0.7,N,2024-04
2024-04-04,02:00,REGDN,0.49,N,2024-04
2024-04-04,02:00,REGUP,1.33,N,2024-04
2024-04-04,02:00,RRS,1.0,N,2024-04
2024-04-04,02:00,NSPIN,0.85,N,2024-04
2024-04-04,02:00,ECRS,0.82,N,2024-04
2024-04-04,03:00,REGUP,1.25,N,2024-04
2024-04-04,03:00,REGDN,0.49,N,2024-04
2024-04-04,03:00,RRS,1.0,N,2024-04
2024-04-04,03:00,ECRS,0.7,N,2024-04
2024-04-04,03:00,NSPIN,0.97,N,2024-04
2024-04-04,04:00,REGDN,0.49,N,2024-04
2024-04-04,04:00,REGUP,1.33,N,2024-04
2024-04-04,04:00,RRS,1.0,N,2024-04
2024-04-04,04:00,NSPIN,0.96,N,2024-04
2024-04-04,04:00,ECRS,0.82,N,2024-04
2024-04-04,05:00,REGDN,0.49,N,2024-04
2024-04-04,05:00,REGUP,1.25,N,2024-04
2024-04-04,05:00,NSPIN,0.99,N,2024-04
2024-04-04,05:00,RRS,0.99,N,2024-04
2024-04-04,05:00,ECRS,0.06,N,2024-04
2024-04-04,06:00,REGUP,1.54,N,2024-04
2024-04-04,06:00,REGDN,1.04,N,2024-04
2024-04-04,06:00,RRS,1.0,N,2024-04
2024-04-04,06:00,ECRS,0.82,N,2024-04
2024-04-04,06:00,NSPIN,1.0,N,2024-04
2024-04-04,07:00,REGUP,1.97,N,2024-04
2024-04-04,07:00,REGDN,1.82,N,2024-04
2024-04-04,07:00,RRS,1.5,N,2024-04
2024-04-04,07:00,NSPIN,3.0,N,2024-04
2024-04-04,07:00,ECRS,0.83,N,2024-04
2024-04-04,08:00,REGDN,1.98,N,2024-04
2024-04-04,08:00,REGUP,1.64,N,2024-04
2024-04-04,08:00,RRS,1.5,N,2024-04
2024-04-04,08:00,NSPIN,2.72,N,2024-04
2024-04-04,08:00,ECRS,1.5,N,2024-04
2024-04-04,09:00,REGUP,2.15,N,2024-04
2024-04-04,09:00,REGDN,3.3,N,2024-04
2024-04-04,09:00,RRS,2.0,N,2024-04
2024-04-04,09:00,ECRS,2.0,N,2024-04
2024-04-04,09:00,NSPIN,2.15,N,2024-04
2024-04-04,10:00,REGDN,1.94,N,2024-04
2024-04-04,10:00,REGUP,1.6,N,2024-04
2024-04-04,10:00,RRS,1.5,N,2024-04
2024-04-04,10:00,NSPIN,1.74,N,2024-04
2024-04-04,10:00,ECRS,1.74,N,2024-04
2024-04-04,11:00,REGDN,1.49,N,2024-04
2024-04-04,11:00,REGUP,1.39,N,2024-04
2024-04-04,11:00,RRS,1.31,N,2024-04
2024-04-04,11:00,NSPIN,1.5,N,2024-04
2024-04-04,11:00,ECRS,1.31,N,2024-04
2024-04-04,12:00,REGDN,1.49,N,2024-04
2024-04-04,12:00,REGUP,1.49,N,2024-04
2024-04-04,12:00,RRS,1.01,N,2024-04
2024-04-04,12:00,NSPIN,1.5,N,2024-04
2024-04-04,12:00,ECRS,1.49,N,2024-04
2024-04-04,13:00,REGUP,1.45,N,2024-04
2024-04-04,13:00,REGDN,1.49,N,2024-04
2024-04-04,13:00,RRS,1.15,N,2024-04
2024-04-04,13:00,ECRS,1.15,N,2024-04
2024-04-04,13:00,NSPIN,1.5,N,2024-04
2024-04-04,14:00,REGDN,1.25,N,2024-04
2024-04-04,14:00,REGUP,1.5,N,2024-04
2024-04-04,14:00,RRS,1.04,N,2024-04
2024-04-04,14:00,NSPIN,1.5,N,2024-04
2024-04-04,14:00,ECRS,1.5,N,2024-04
2024-04-04,15:00,REGDN,1.54,N,2024-04
2024-04-04,15:00,ECRS,1.5,N,2024-04
2024-04-04,15:00,NSPIN,1.5,N,2024-04
2024-04-04,15:00,RRS,1.5,N,2024-04
2024-04-04,15:00,REGUP,1.5,N,2024-04
2024-04-04,16:00,NSPIN,1.5,N,2024-04
2024-04-04,16:00,REGUP,1.5,N,2024-04
2024-04-04,16:00,ECRS,1.5,N,2024-04
2024-04-04,16:00,REGDN,1.52,N,2024-04
2024-04-04,16:00,RRS,1.01,N,2024-04
2024-04-04,17:00,ECRS,2.0,N,2024-04
2024-04-04,17:00,REGDN,1.48,N,2024-04
2024-04-04,17:00,NSPIN,1.68,N,2024-04
2024-04-04,17:00,REGUP,1.97,N,2024-04
2024-04-04,17:00,RRS,1.03,N,2024-04
2024-04-04,18:00,NSPIN,2.12,N,2024-04
2024-04-04,18:00,RRS,1.5,N,2024-04
2024-04-04,18:00,REGUP,2.0,N,2024-04
2024-04-04,18:00,REGDN,1.93,N,2024-04
2024-04-04,18:00,ECRS,2.5,N,2024-04
2024-04-04,19:00,NSPIN,7.88,N,2024-04
2024-04-04,19:00,RRS,5.0,N,2024-04
2024-04-04,19:00,REGUP,8.65,N,2024-04
2024-04-04,19:00,REGDN,2.0,N,2024-04
2024-04-04,19:00,ECRS,8.63,N,2024-04
2024-04-04,20:00,REGDN,6.61,N,2024-04
2024-04-04,20:00,REGUP,18.09,N,2024-04
2024-04-04,20:00,RRS,17.58,N,2024-04
2024-04-04,20:00,NSPIN,19.38,N,2024-04
2024-04-04,20:00,ECRS,20.0,N,2024-04
2024-04-04,21:00,NSPIN,5.0,N,2024-04
2024-04-04,21:00,RRS,3.82,N,2024-04
2024-04-04,21:00,REGUP,4.15,N,2024-04
2024-04-04,21:00,REGDN,1.8,N,2024-04
2024-04-04,21:00,ECRS,6.06,N,2024-04
2024-04-04,22:00,REGUP,1.72,N,2024-04
2024-04-04,22:00,REGDN,1.5,N,2024-04
2024-04-04,22:00,RRS,1.72,N,2024-04
2024-04-04,22:00,NSPIN,2.72,N,2024-04
2024-04-04,22:00,ECRS,2.72,N,2024-04
2024-04-04,23:00,REGUP,1.44,N,2024-04
2024-04-04,23:00,REGDN,1.5,N,2024-04
2024-04-04,23:00,RRS,1.0,N,2024-04
2024-04-04,23:00,ECRS,0.83,N,2024-04
2024-04-04,23:00,NSPIN,0.99,N,2024-04
2024-04-04,24:00,REGDN,1.53,N,2024-04
2024-04-04,24:00,REGUP,1.33,N,2024-04
2024-04-04,24:00,NSPIN,0.92,N,2024-04
2024-04-04,24:00,RRS,1.0,N,2024-04
2024-04-04,24:00,ECRS,0.82,N,2024-04
2024-04-05,01:00,REGDN,1.99,N,2024-04
2024-04-05,01:00,REGUP,1.33,N,2024-04
2024-04-05,01:00,RRS,1.0,N,2024-04
2024-04-05,01:00,NSPIN,0.83,N,2024-04
2024-04-05,01:00,ECRS,0.5,N,2024-04
2024-04-05,02:00,REGDN,2.0,N,2024-04
2024-04-05,02:00,REGUP,1.33,N,2024-04
2024-04-05,02:00,RRS,1.0,N,2024-04
2024-04-05,02:00,NSPIN,0.5,N,2024-04
2024-04-05,02:00,ECRS,0.76,N,2024-04
2024-04-05,03:00,REGUP,1.25,N,2024-04
2024-04-05,03:00,REGDN,2.0,N,2024-04
2024-04-05,03:00,RRS,1.0,N,2024-04
2024-04-05,03:00,ECRS,0.5,N,2024-04
2024-04-05,03:00,NSPIN,0.85,N,2024-04
2024-04-05,04:00,REGDN,1.48,N,2024-04
2024-04-05,04:00,REGUP,1.33,N,2024-04
2024-04-05,04:00,RRS,1.0,N,2024-04
2024-04-05,04:00,NSPIN,0.84,N,2024-04
2024-04-05,04:00,ECRS,0.82,N,2024-04
2024-04-05,05:00,REGDN,1.0,N,2024-04
2024-04-05,05:00,REGUP,1.32,N,2024-04
2024-04-05,05:00,NSPIN,0.94,N,2024-04
2024-04-05,05:00,RRS,0.99,N,2024-04
2024-04-05,05:00,ECRS,0.5,N,2024-04
2024-04-05,06:00,REGUP,1.54,N,2024-04
2024-04-05,06:00,REGDN,1.12,N,2024-04
2024-04-05,06:00,RRS,0.99,N,2024-04
2024-04-05,06:00,ECRS,0.82,N,2024-04
2024-04-05,06:00,NSPIN,0.96,N,2024-04
2024-04-05,07:00,REGUP,1.34,N,2024-04
2024-04-05,07:00,REGDN,1.48,N,2024-04
2024-04-05,07:00,RRS,1.01,N,2024-04
2024-04-05,07:00,NSPIN,1.8,N,2024-04
2024-04-05,07:00,ECRS,0.83,N,2024-04
2024-04-05,08:00,REGDN,4.4,N,2024-04
2024-04-05,08:00,REGUP,1.15,N,2024-04
2024-04-05,08:00,RRS,1.0,N,2024-04
2024-04-05,08:00,NSPIN,1.8,N,2024-04
2024-04-05,08:00,ECRS,1.15,N,2024-04
2024-04-05,09:00,REGUP,1.5,N,2024-04
2024-04-05,09:00,REGDN,3.65,N,2024-04
2024-04-05,09:00,RRS,1.17,N,2024-04
2024-04-05,09:00,ECRS,1.8,N,2024-04
2024-04-05,09:00,NSPIN,1.8,N,2024-04
2024-04-05,10:00,REGDN,2.0,N,2024-04
2024-04-05,10:00,REGUP,1.5,N,2024-04
2024-04-05,10:00,RRS,1.03,N,2024-04
2024-04-05,10:00,NSPIN,1.75,N,2024-04
2024-04-05,10:00,ECRS,2.0,N,2024-04
2024-04-05,11:00,REGDN,3.65,N,2024-04
2024-04-05,11:00,REGUP,1.49,N,2024-04
2024-04-05,11:00,RRS,1.0,N,2024-04
2024-04-05,11:00,NSPIN,1.5,N,2024-04
2024-04-05,11:00,ECRS,1.5,N,2024-04
2024-04-05,12:00,REGDN,3.0,N,2024-04
2024-04-05,12:00,REGUP,1.49,N,2024-04
2024-04-05,12:00,RRS,1.0,N,2024-04
2024-04-05,12:00,NSPIN,1.5,N,2024-04
2024-04-05,12:00,ECRS,1.56,N,2024-04
2024-04-05,13:00,REGDN,2.0,N,2024-04
2024-04-05,13:00,REGUP,1.47,N,2024-04
2024-04-05,13:00,ECRS,1.5,N,2024-04
2024-04-05,13:00,NSPIN,1.5,N,2024-04
2024-04-05,13:00,RRS,1.0,N,2024-04
2024-04-05,14:00,REGDN,2.37,N,2024-04
2024-04-05,14:00,REGUP,1.5,N,2024-04
2024-04-05,14:00,RRS,1.0,N,2024-04
2024-04-05,14:00,NSPIN,1.55,N,2024-04
2024-04-05,14:00,ECRS,1.55,N,2024-04
2024-04-05,15:00,REGDN,3.0,N,2024-04
2024-04-05,15:00,RRS,1.0,N,2024-04
2024-04-05,15:00,NSPIN,1.2,N,2024-04
2024-04-05,15:00,REGUP,1.49,N,2024-04
2024-04-05,15:00,ECRS,1.97,N,2024-04
2024-04-05,16:00,REGDN,2.0,N,2024-04
2024-04-05,16:00,RRS,1.01,N,2024-04
2024-04-05,16:00,NSPIN,1.5,N,2024-04
2024-04-05,16:00,REGUP,1.5,N,2024-04
2024-04-05,16:00,ECRS,2.0,N,2024-04
2024-04-05,17:00,REGDN,3.0,N,2024-04
2024-04-05,17:00,RRS,1.01,N,2024-04
2024-04-05,17:00,NSPIN,1.5,N,2024-04
2024-04-05,17:00,REGUP,2.0,N,2024-04
2024-04-05,17:00,ECRS,2.0,N,2024-04
2024-04-05,18:00,REGDN,3.0,N,2024-04
2024-04-05,18:00,RRS,1.01,N,2024-04
2024-04-05,18:00,NSPIN,1.75,N,2024-04
2024-04-05,18:00,REGUP,1.97,N,2024-04
2024-04-05,18:00,ECRS,2.0,N,2024-04
2024-04-05,19:00,REGDN,3.4,N,2024-04
2024-04-05,19:00,RRS,1.0,N,2024-04
2024-04-05,19:00,NSPIN,1.04,N,2024-04
2024-04-05,19:00,REGUP,2.76,N,2024-04
2024-04-05,19:00,ECRS,1.7,N,2024-04
2024-04-05,20:00,REGDN,2.0,N,2024-04
2024-04-05,20:00,NSPIN,2.04,N,2024-04
2024-04-05,20:00,REGUP,3.26,N,2024-04
2024-04-05,20:00,RRS,1.5,N,2024-04
2024-04-05,20:00,ECRS,3.26,N,2024-04
2024-04-05,21:00,NSPIN,1.5,N,2024-04
2024-04-05,21:00,ECRS,2.0,N,2024-04
2024-04-05,21:00,RRS,1.5,N,2024-04
2024-04-05,21:00,REGUP,1.83,N,2024-04
2024-04-05,21:00,REGDN,2.97,N,2024-04
2024-04-05,22:00,RRS,1.15,N,2024-04
2024-04-05,22:00,REGUP,1.5,N,2024-04
2024-04-05,22:00,ECRS,1.15,N,2024-04
2024-04-05,22:00,NSPIN,1.03,N,2024-04
2024-04-05,22:00,REGDN,1.25,N,2024-04
2024-04-05,23:00,ECRS,1.0,N,2024-04
2024-04-05,23:00,NSPIN,0.92,N,2024-04
2024-04-05,23:00,RRS,1.0,N,2024-04
